功能,功能点,描述,优先级,需求状态,备注,设计文档,原型文档
活动主页,筛选条件,活动状态区分(近期活动/已结束),P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
,筛选条件,城市、日历筛选,P1,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
活动主页,搜索,支持根据标题模糊搜索活动,P1,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
活动主页,活动列表,活动卡片: 展示封面、活动基础信息,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
,,卡片上的分享按钮,P1,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
活动详情页,基础信息,活动信息、活动介绍、主办方、报名须知等,P0,未开始,@Ame 提供主办方介绍、报名须知,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
,地点指引,点击icon跳转到指定链接,P1,未开始,@Ame 提供链接,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
活动详情页,详细信息,"活动介绍、主办方、报名须知, 支持创建活动时编辑上传图文介绍",P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
活动详情页,联系方式,写固定电话号码: 13798316515,P1,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
活动详情页,分享活动,支持分享链接、小程序、二维码、文案,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
,,"需要根据邀请链接识别邀请人, 该用户（非玩家）报名后展示邀请人是谁",P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
,,玩家的邀请人展示玩家报名入会的时候填写的人是谁,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
活动详情页,活动报名,登录判断、新用户登陆后填完个人信息返回活动详情页,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
,,支付判断，付费活动需要唤起微信支付流程,P1,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
活动详情页,活动签到码,"生成活动后提供一个可下载的二维码, 让参与者扫码签到",P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
,,扫码唤起小程序活动详情页->登录判断->签到成功,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
活动详情页,活动反馈,已经签到的玩家可以填写活动反馈（仅本场活动）,P1,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
活动详情页,参与人列表,展示已报名的嘉宾与玩家、支持搜索、支持分享名单,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
,,可以给参与人点心动，每场1票,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
,,查看参与人———跳转到玩家/嘉宾档案,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
活动详情页,心动列表,给出心动和被点心动的人展示列表,P1,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
活动详情页,活动支付,付费活动需要唤起微信支付流程,P2,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
活动,活动签到,"扫描活动二维码签到成功, 未报名的情况下先报名",P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
,筛选条件,城市、日历筛选,P1,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
,,卡片上的分享按钮,P1,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
,,支付判断，付费活动需要唤起微信支付流程,P1,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
,,可以给参与人点心动，每场1票,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
,地点指引,点击icon跳转到指定链接,P1,未开始,@Ame 提供链接,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
,,"需要根据邀请链接识别邀请人, 该用户（非玩家）报名后展示邀请人是谁",P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
,,查看参与人———跳转到玩家/嘉宾档案,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
,,玩家的邀请人展示玩家报名入会的时候填写的人是谁,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
,,扫码唤起小程序活动详情页->登录判断->签到成功,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
,,二维码识别失败提示打开微信扫码,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
机会广场,机会列表,展示机会相关信息（招募中/已完成）,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4976&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WiAgC4TSNVB
,发布机会,标签、关键信息、状态、组队玩家等信息,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4976&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WiAgC4TSNVB
机会广场,机会详情,展示机会详情、发布时机、状态等,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4976&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WiAgC4TSNVB
,我想引荐,点击发送微信消息通知,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4976&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WiAgC4TSNVB
牛人合作,合作卡列表,展示玩家的合作卡,P1,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4976&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WiAgC4TSNVB
,玩家/嘉宾档案,档案详情,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4976&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WiAgC4TSNVB
牛人合作,筛选与搜索,根据6大角色筛选、支持同时搜索嘉宾、玩家的信息,P1,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4976&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WiAgC4TSNVB
,发布机会,标签、关键信息、状态、组队玩家等信息,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4976&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WiAgC4TSNVB
,筛选,根据6大角色筛选、根据行业筛选,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4976&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WiAgC4TSNVB
,我想引荐,点击发送微信消息通知,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4976&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WiAgC4TSNVB
,玩家/嘉宾档案,档案详情,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4976&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WiAgC4TSNVB
,我感兴趣,点击发送微信消息通知,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4976&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WiAgC4TSNVB
我的,基础信息,头像、姓名、等级、一句话介绍、行业身份、职业身份、MIP城市归属、勋章,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4972&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk
我的,我的名片,基础信息、名片样式、分享与保存,P1,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4972&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk
,数字人,可选择一个名片样式，自动把头像生成数字人形象,P2,未开始,,,
我的,我的活动,参加过的活动列表,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4972&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk
,取消报名,活动开始前X小时可取消活动（可配置）,P0,未开始,,,
我的档案,合作卡,6款合作卡的增删改查、AI助手（AI录音填充内容）,P1,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4972&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk
,超级案例,超级案例的增删改茶、AI助手（AI录音填充内容）,P1,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4972&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk
,相关机会,已发布机会、引荐的机会 ,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4972&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk
用户帐号,帐号设置,更换绑定的手机号、退出登录,P1,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4972&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk
我的,会员系统,会员经验值登记规则、归属分会、支付会费、经验值获取记录,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4972&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk
我的档案,影响力数据,嘉宾列表、互动列表、感兴趣列表、主页浏览量,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4972&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk
,,点击数据打开对应的列表页、 打开对应的玩家档案,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4972&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk
,,红点消息提醒的交互,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4972&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk
申请成为玩家,报名流程,申请协议、基础信息填写,P0,未开始,@Ame 提供玩家申请协议,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4972&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk
NPC任务,我的任务,,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4972&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk
,任务列表,待完成（操作完成/未完成）、已结束列表,P0,未开始,,,
NPC任务,派发任务,展示成员列表、可搜索、点击确认后派发,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4972&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk
,任务卡,后台配置,P0,未开始,,,
,任务完成奖励,后台配置：经验值等,P0,未开始,,,
我的,勋章收藏,展示身份勋章、最多佩戴3个,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4972&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk
我的,玩家VIP页,展示不同等级的权益、任务、邀请加入、立即续费,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4972&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk
,超级案例,超级案例的增删改茶、AI助手（AI录音填充内容）,P1,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4972&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk
,,点击数据打开对应的列表页、 打开对应的玩家档案,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4972&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk
,,红点消息提醒的交互,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4972&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk
,相关机会,已发布机会、引荐的机会 ,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4972&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk
订单,订单状态,全部、待使用、已完成、已退款,P0,未开始,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4972&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk
,订单详情,展示关键信息,P0,未开始,,,
,退款,已取消的活动可退款,P0,未开始,,,
,取消报名,活动开始前X小时可取消活动（可配置）,P0,未开始,,,
,MIP会费,详情与支付流程,P0,未开始,,,
,订单详情,展示关键信息,P0,未开始,,,
,退款,已取消的活动可退款,P0,未开始,,,
,任务列表,待完成（操作完成/未完成）、已结束列表,P0,未开始,,,
,任务详情,详情、下载模板、上传附件,P0,未开始,,,
,任务卡,后台配置,P0,未开始,,,
,任务完成奖励,后台配置：经验值等,P0,未开始,,,
,任务完成奖励,后台配置：经验值等,P0,未开始,,,
,数字人,可选择一个名片样式，自动把头像生成数字人形象,P2,未开始,,,
用户注册与登陆,微信一键登陆,登录获取用户手机号、微信头像和昵称,P0,未开始,,,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk
,切换手机号登陆,切换手机号登陆,P1,未开始,,,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk
,协议签署*2,登陆前必须签署MIP用户服务协议MIP隐私保护协议,P0,未开始,,,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk
,切换手机号登陆,切换手机号登陆,P1,未开始,,,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk
,协议签署*2,登陆前必须签署MIP用户服务协议MIP隐私保护协议,P0,未开始,,,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk
消息,Push消息,获得经验值、游戏币、支持跳转指定页面,P2,未开始,微信订阅消息模板,,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpVCtypBE1HsXxjR
消息,微信推送消息,活动通知/机会通知,P2,未开始,微信订阅消息模板,,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpVCtypBE1HsXxjR
消息,弹窗消息,等级提升、系统消息、游戏相关,P2,未开始,微信订阅消息模板,,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpVCtypBE1HsXxjR
首页仪表盘,,玩家互动率、机会转化率等关键数据指标,P1,未开始,,,
用户管理,,用户配置与管理系统,P0,未开始,,,
活动管理,,活动配置与管理系统,P0,未开始,,,
机会管理,,机会配置与管理系统,P0,未开始,,,
任务管理,,任务配置与管理系统,P0,未开始,,,
消息管理,,评论配置与管理系统,P0,未开始,,,
服务器管理,,MIP不同分会的配置与管理系统,P0,未开始,,,
角色管理,,超级管理员、分会管理员、管理团队等角色,P0,未开始,,,
权限管理,,权限配置与管理系统,P0,未开始,,,
团队管理,,团队配置与管理系统,P0,未开始,,,
